site_code,Taxon,NewTaxon,Notes,Reason,Apply,New_Family,New_local_provenance,New_local_lifeform,New_local_lifespan,New_functional_group
gilb.za,UNKNOWN SP. (gilb.za),PROTEA SIMPLEX,perennial forb according to characteristics,Assign to dominant forb taxon (perennial),Yes,Proteaceae,,,,
gilb.za,UNKNOWN ORCHIDACEAE SP. (gilb.za),DISA STACHYOIDES,"same plot, 10 years apart",Inconsistent identification across years,Yes,,,,,
hall.us,UNKNOWN SP. (hall.us),RUBUS ALLEGHENIENSIS,woody according to characteristics,Assign to dominant woody taxon,Yes,Rosaceae,,,,
hall.us,RUBUS SP. (hall.us),RUBUS ALLEGHENIENSIS,,No congeners recorded,Yes,,,,,
hart.us,ALLIUM SP. (hart.us),ALLIUM ACUMINATUM,,Inconsistent identification across years,Yes,,,,,
hart.us,AGOSERIS SP. (hart.us),AGOSERIS GLAUCA,,No congeners recorded,Yes,,,,,
hart.us,CREPIS SP. (hart.us),CREPIS OCCIDENTALIS,,No congeners recorded,Yes,,,,,
hart.us,ASTRAGALUS SP. (hart.us),ASTRAGALUS FILIPES,,Inconsistent identification across years,Yes,,,,,
hart.us,LUPINUS BREVICAULIS,LUPINUS SP. (hart.us),,Inconsistent identification across years,Yes,,,,,
hart.us,LUPINUS UNCIALIS,LUPINUS SP. (hart.us),,Inconsistent identification across years,Yes,,,,,
hart.us,LUPINUS SP. (hart.us),,,Update species characteristics,Yes,,NAT,HERB,ANNUAL,LEGUME
hart.us,UNKNOWN FORB SP. (hart.us),CREPIS OCCIDENTALIS,,Assign to dominant forb taxon,Yes,Compositae,,,,
hero.uk,SENECIO JACOBAEA,JACOBAEA VULGARIS,,Synonyms,Yes,,,,,
hero.uk,UNKNOWN PTERIDOPHYTA SP. (hero.uk),DRYOPTERIS SP. (hero.uk),present in plot 2 in different years,Assign to dominant pteridophyte taxon,Yes,Dryopteridaceae,,,,
hero.uk,UNKNOWN SP. (hero.uk),AGROSTIS CAPILLARIS,,Assign to dominant taxon,Yes,Poaceae,,,,
hero.uk,PRUNUS SP. (hero.uk),PRUNUS SPINOSA,different plots,No congeners recorded,Yes,,,,,
hnvr.us,IPOMOEA SP. (hnvr.us),CALYSTEGIA SEPIUM,,Inconsistent identification across years,Yes,,,,,
hnvr.us,CAREX SP. (hnvr.us),CAREX GRACILLIMA,,Inconsistent identification across years,Yes,,,,,
hopl.us,UNKNOWN APIACEAE SP. (hopl.us),DAUCUS PUSILLUS,,Assign to dominant taxon in Family,Yes,,,,,
hopl.us,TORILIS ARVENSIS,TORILIS SP. (hopl.us),,Aggregate at genus level,Yes,,,,,
hopl.us,TORILIS NODOSA,TORILIS SP. (hopl.us),,Aggregate at genus level,Yes,,,,,
hopl.us,TORILIS SP. (hopl.us),,,Update species characteristics,Yes,,INT,HERB,ANNUAL,FORB
hopl.us,BRODIAEA CORONARIA,TRITELEIA SP. (hopl.us),,Inconsistent identification across years,Yes,,,,,
hopl.us,BRODIAEA SP. (hopl.us),TRITELEIA SP. (hopl.us),,Inconsistent identification across years,Yes,,,,,
hopl.us,TRITELEIA SP. (hopl.us),,,Update species characteristics,Yes,,NAT,NULL,PERENNIAL,FORB
hopl.us,CENTAUREA SP. (hopl.us),CENTAUREA MELITENSIS,,Inconsistent identification across years,Yes,,,,,
hopl.us,CIRSIUM VULGARE,CARDUUS PYCNOCEPHALUS,sometimes in same plot in consecutive years,no changes,No,,,,,
hopl.us,UNKNOWN ASTERACEAE SP. (hopl.us),CARDUUS PYCNOCEPHALUS,,Assign to dominant taxon in Family,Yes,,,,,
hopl.us,EUPHORBIA SP. (hopl.us),EUPHORBIA SPATHULATA,,Inconsistent identification across years,Yes,,,,,
hopl.us,UNKNOWN EUPHORBIACEAE SP. (hopl.us),EUPHORBIA SPATHULATA,,Assign to dominant taxon in Family,Yes,,,,,
hopl.us,LATHYRUS SP. (hopl.us),LATHYRUS SPHAERICUS,,Assign to dominant taxon in genus,Yes,,,,,
hopl.us,ACMISPON WRANGELIANUS,ACMISPON PARVIFLORUS,"once in same plot, same year",no changes,No,,,,,
hopl.us,LOTUS SP. (hopl.us),LOTUS PURSHIANUS,,No congeners recorded,Yes,,,,,
hopl.us,TRIFOLIUM SP. (hopl.us),TRIFOLIUM ALBOPURPUREUM,T. albopurpureum only species not recorded in years when this unknown present,Inconsistent identification across years,Yes,,,,,
hopl.us,TRIFOLIUM SP.2 (hopl.us),TRIFOLIUM GRACILENTUM,2007 (12 records); T. gracilentum 2nd most frequent species not recorded that year,Assign to dominant taxon in genus,Yes,,,,,
hopl.us,TRIFOLIUM SP.3 (hopl.us),TRIFOLIUM MICROCEPHALUM,2007 (13 records); T. microcephalum most frequent species not recorded that year,Assign to dominant taxon in genus,Yes,,,,,
hopl.us,TRIFOLIUM SP.4 (hopl.us),TRIFOLIUM BIFIDUM,2007 (4 records); T. bifidum 3rd most frequent species not recorded that year,Assign to dominant taxon in genus,Yes,,,,,
hopl.us,VICIA SP. (hopl.us),VICIA SATIVA,,Assign to dominant taxon in genus,Yes,,,,,
hopl.us,UNKNOWN LILIACEAE SP. (hopl.us),CALOCHORTUS VENUSTUS,,Assign to dominant taxon in Family,Yes,,,,,
hopl.us,UNKNOWN FORB SP. (hopl.us),CARDUUS PYCNOCEPHALUS,,Assign to dominant forb taxon,Yes,Compositae,,,,
hopl.us,UNKNOWN SP. (hopl.us),BROMUS HORDEACEUS,,Assign to dominant taxon,Yes,Poaceae,,,,
hopl.us,GALIUM SP. (hopl.us),GALIUM PARISIENSE,,Assign to dominant taxon in genus,Yes,,,,,
jena.de,,,no changes,no changes,No,,,,,
kbs.us,UNKNOWN BRASSICACEAE SP. (kbs.us),LEPIDIUM CAMPESTRE,2013 and 2014; L. campestre not recorded before 2022,Inconsistent identification across years,Yes,,,,,
kbs.us,LONICERA SP. (kbs.us),LONICERA TATARICA,IDed to species in 2022-2023,No congeners recorded,Yes,,,,,
kbs.us,ERIGERON SP. (kbs.us),ERIGERON ANNUUS,,No congeners recorded,Yes,,,,,
kbs.us,UNKNOWN ASTERACEAE SP. (kbs.us),SOLIDAGO CANADENSIS,,Assign to dominant taxon in Family,Yes,,,,,
kbs.us,MELILOTUS SP. (kbs.us),MELILOTUS OFFICINALIS,,No congeners recorded,Yes,,,,,
kbs.us,TRIFOLIUM SP. (kbs.us),TRIFOLIUM REPENS,,Assign to dominant taxon in genus,Yes,,,,,
kbs.us,UNKNOWN PTERIDOPHYTA SP. (kbs.us),ASPLENIUM PLATYNEURON,"plots 4, 20",Assign to dominant taxon in Family,Yes,Aspleniaceae,,,,
kbs.us,UNKNOWN SP. (kbs.us),BROMUS INERMIS,,Assign to dominant taxon,Yes,Poaceae,,,,
kbs.us,UNKNOWN SP.2 (kbs.us),BROMUS INERMIS,indeterminate lifespan according to characteristics,Assign to dominant taxon,Yes,Poaceae,,,,
kbs.us,UNKNOWN WOODY SP. (kbs.us),LONICERA TATARICA,woody according to characteristics,Assign to dominant taxon (woody),Yes,Caprifoliaceae,,,,
kbs.us,PLANTAGO SP. (kbs.us),PLANTAGO LANCEOLATA,"same plot, same year",no changes,No,,,,,
kbs.us,SETARIA SP. (kbs.us),SETARIA PUMILA,plot 37,No congeners recorded,Yes,,,,,
kbs.us,UNKNOWN POACEAE SP. (kbs.us),ARRHENATHERUM ELATIUS,plot 21,Inconsistent identification across years,Yes,,,,,
kbs.us,PRUNUS SP. (kbs.us),PRUNUS SEROTINA,,No congeners recorded,Yes,,,,,
kbs.us,ACER SP. (kbs.us),ACER NEGUNDO,,No congeners recorded,Yes,,,,,
kbs.us,VITIS SP. (kbs.us),VITIS RIPARIA,,No congeners recorded,Yes,,,,,
kibber.in,SILENE SP. (kibber.in),SILENE GRAMINIFOLIA,"same plot, same year",no changes,No,,,,,
kibber.in,UNKNOWN SP. (kibber.in),POLYGONUM SP. (kibber.in),forb according to characteristics,Assign to dominant forb taxon,Yes,Polygonaceae,,,,
kibber.in,UNKNOWN POACEAE SP. (kibber.in),ELYMUS LONGIARISTATUS,plots 11-14,Inconsistent identification across years,Yes,,,,,
kibber.in,POLYGONUM AVICULARE,POLYGONUM SP. (kibber.in),,Inconsistent identification across years,Yes,,,,,
kidman.au,POLYMERIA SP. (kidman.au),POLYMERIA AMBIGUA,plots 3-5,Inconsistent identification across years,Yes,,,,,
kidman.au,NEPTUNIA SP.,NEPTUNIA DIMORPHANTHA,,Inconsistent identification across years,Yes,,,,,
kidman.au,CORCHORUS SP. (kidman.au),CORCHORUS AESTUANS,"same plot, same year",no changes,No,,,,,
kidman.au,UNKNOWN SP. (kidman.au),CHRYSOPOGON BENTHAMIANUS,,Assign to dominant taxon,Yes,Poaceae,,,,
kidman.au,SORGHUM PLUMOSUM,SORGHUM TIMORENSE,,Inconsistent identification across years,Yes,,,,,
kidman.au,SORGHUM SP. (kidman.au),SORGHUM TIMORENSE,,Inconsistent identification across years,Yes,,,,,
kilp.fi,BARBILOPHOZIA SP. (kilp.fi),BARBILOPHOZIA KUNZEANA,,No congeners recorded,Yes,,,,,
kilp.fi,POHLIA CRUDA,POHLIA SP. (kilp.fi),,Aggregate at genus level,Yes,,,,,
kilp.fi,POHLIA NUTANS,POHLIA SP. (kilp.fi),,Aggregate at genus level,Yes,,,,,
kilp.fi,BRACHYTHECIUM SP. (kilp.fi),BRACHYTHECIUM CORUSCUM,,No congeners recorded,Yes,,,,,
kilp.fi,CLADONIA COCCIFERA,CLADONIA SP. (kilp.fi),,Aggregate at genus level,Yes,,,,,
kilp.fi,CLADONIA GRACILIS,CLADONIA SP. (kilp.fi),,Aggregate at genus level,Yes,,,,,
kilp.fi,CLADONIA MITIS,CLADONIA SP. (kilp.fi),,Aggregate at genus level,Yes,,,,,
kilp.fi,CLADONIA UNCIALIS,CLADONIA SP. (kilp.fi),,Aggregate at genus level,Yes,,,,,
kilp.fi,LEONTODON AUTUMNALIS var. TARAXACI,SCORZONEROIDES AUTUMNALIS,,Synonyms,Yes,,NAT,HERB,PERENNIAL,FORB
kilp.fi,UNKNOWN JUNGERMANNIACEAE SP. (kilp.fi),TRITOMARIA QUINQUEDENTATA,,Inconsistent identification across years,Yes,,,,,
kilp.fi,LOPHOZIA SP. (kilp.fi),LOPHOZIA GRANDIRETIS,,Inconsistent identification across years,Yes,,,,,
kilp.fi,PELTIGERA LEUCOPHLEBIA,PELTIGERA SP. (kilp.fi),,Aggregate at genus level,Yes,,,,,
kilp.fi,PELTIGERA RUFESCENS,PELTIGERA SP. (kilp.fi),,Aggregate at genus level,Yes,,,,,
kiny.au,ARTHROPODIUM SP. (kiny.au),ARTHROPODIUM MINUS,,Inconsistent identification across years,Yes,,NAT,HERB,PERENNIAL,FORB
kiny.au,ATRIPLEX SP. (kiny.au),ATRIPLEX SEMIBACCATA,,Inconsistent identification across years,Yes,,,,,
kiny.au,MAIREANA SP. (kiny.au),MAIREANA ENCHYLAENOIDES,plot 13,Inconsistent identification across years,Yes,,NAT,HERB,PERENNIAL,FORB
kiny.au,RHODANTHE SP. (kiny.au),RHODANTHE CORYMBIFLORA,plot 6,Inconsistent identification across years,Yes,,NAT,HERB,ANNUAL,FORB
kiny.au,SONCHUS SP. (kiny.au),SONCHUS OLERACEUS,,Inconsistent identification across years,Yes,,INT,NULL,ANNUAL,FORB
kiny.au,SONCHUS ASPER,SONCHUS OLERACEUS,,Inconsistent identification across years,Yes,,,,,
kiny.au,UNKNOWN ASTERACEAE SP. (kiny.au),ARCTOTHECA CALENDULA,introduced forb according to characteristics,Assign to dominant taxon in Family (introduced),Yes,,INT,HERB,PERENNIAL,FORB
kiny.au,UNKNOWN ASTERACEAE SP.2 (kiny.au),RHODANTHE CORYMBIFLORA,native annual forb according to characteristics,Assign to dominant taxon in Family (native annual),Yes,,NAT,HERB,ANNUAL,FORB
kiny.au,CRASSULA SP. (kiny.au),CRASSULA SIEBERIANA,,No congeners recorded,Yes,,,,,
kiny.au,TRIFOLIUM ARVENSE,TRIFOLIUM SP. (kiny.au),,Aggregate at genus level,Yes,,,,,
kiny.au,TRIFOLIUM DUBIUM,TRIFOLIUM SP. (kiny.au),,Aggregate at genus level,Yes,,,,,
kiny.au,TRIFOLIUM GLOMERATUM,TRIFOLIUM SP. (kiny.au),,Aggregate at genus level,Yes,,,,,
kiny.au,TRIFOLIUM SUBTERRANEUM,TRIFOLIUM SP. (kiny.au),"same plot, same year",no changes,No,,,,,
kiny.au,TRIFOLIUM SP. (kiny.au),,forb according to characteristics,Update species characteristics,Yes,,INT,HERB,ANNUAL,LEGUME
kiny.au,UNKNOWN FORB SP. (kiny.au),ERODIUM CRINITUM,native annual forb according to characteristics,Assign to dominant forb taxon (native annual),Yes,Geraniaceae,,,,
kiny.au,UNKNOWN SP.2 (kiny.au),RYTIDOSPERMA SP. (kiny.au),native species according to characteristics,Assign to dominant taxon (native),Yes,Poaceae,,,,
kiny.au,UNKNOWN GRAMINOID SP. (kiny.au),SCHOENUS APOGON,graminoid according to characteristics,Assign to dominant graminoid taxon,Yes,Cyperaceae,,,,
kiny.au,UNKNOWN SP. (kiny.au),AVENA BARBATA,,Assign to dominant taxon,Yes,Poaceae,,,,
kiny.au,UNKNOWN ANNUAL SP. (kiny.au),AVENA BARBATA,annual of unknown provenance according to characteristics,Assign to dominant taxon (annual),Yes,Poaceae,,,,
kiny.au,UNKNOWN SP.3 (kiny.au),AVENA BARBATA,unknown provenance according to characteristics,Assign to dominant taxon,Yes,Poaceae,,,,
kiny.au,AVENA SP. (kiny.au),AVENA BARBATA,,Inconsistent identification across years,Yes,,,,,
kiny.au,AVENA FATUA,AVENA BARBATA,,Inconsistent identification across years,Yes,,,,,
kiny.au,BROMUS SP. (kiny.au),BROMUS RUBENS,no congeners in first decade+,No congeners recorded,Yes,,,,,
kiny.au,LOLIUM PERENNE,LOLIUM SP. (kiny.au),,Aggregate at genus level,Yes,,,,,
kiny.au,LOLIUM RIGIDUM,LOLIUM SP. (kiny.au),,Aggregate at genus level,Yes,,,,,
kiny.au,RYTIDOSPERMA SP. (kiny.au),,,Update species characteristics,Yes,,NAT,GRASS,PERENNIAL,GRASS
kiny.au,UNKNOWN POACEAE SP. (kiny.au),AVENA BARBATA,introduced annual grass according to characteristics,Assign to dominant taxon in Family (introduced annual),Yes,,,,,
kiny.au,UNKNOWN POACEAE SP.2 (kiny.au),RYTIDOSPERMA SP. (kiny.au),native perennial grass according to characteristics,Assign to dominant taxon in Family (native perennial),Yes,,,,,
kiny.au,UNKNOWN POACEAE SP.3 (kiny.au),RYTIDOSPERMA SP. (kiny.au),,Assign to dominant taxon in Family,Yes,,,,,
kiny.au,VULPIA SP. (kiny.au),VULPIA BROMOIDES,,Inconsistent identification across years,Yes,,,,,
koffler.ca,UNKNOWN ASTERACEAE SP. (koffler.ca),SOLIDAGO ALTISSIMA,,Assign to dominant taxon in Family,Yes,,,,,
koffler.ca,CAREX SP. (koffler.ca),CAREX PLANTAGINEA,often present in same plot in different years,Inconsistent identification across years,Yes,,,,,
koffler.ca,UNKNOWN CYPERACEAE SP. (koffler.ca),CAREX PLANTAGINEA,,Inconsistent identification across years,Yes,,,,,
koffler.ca,UNKNOWN FORB SP. (koffler.ca),SOLIDAGO ALTISSIMA,,Assign to dominant forb taxon,Yes,Compositae,,,,
koffler.ca,UNKNOWN ROSACEAE ,PRUNUS SP. (koffler.ca),,Assign to dominant taxon in Family,Yes,,,,,
konz.us,ECHINACEA SP. (konz.us),ECHINACEA ANGUSTIFOLIA,,Inconsistent identification across years,Yes,,,,,
konz.us,EUPHORBIA SERPENS,EUPHORBIA NUTANS,confirmed with Kim Komatsu in 2019,Inconsistent identification across years,Yes,,,,,
konz.us,UNKNOWN SP. (konz.us),SCHIZACHYRIUM SCOPARIUM,,Assign to dominant taxon,Yes,Poaceae,,,,
konz.us,MUHLENBERGIA CUSPIDATA,MUHLENBERGIA RACEMOSA,confirmed with Kim Komatsu in 2019,Inconsistent identification across years,Yes,,,,,
lagoas.br,POLICARPAEA CORYMBOSA,POLYCARPAEA CORYMBOSA,,Synonyms,Yes,,,,,
lagoas.br,UNKNOWN FORB SP. (lagoas.br),WALTHERIA INDICA,,Assign to dominant forb taxon,Yes,Malvaceae,,,,
lake.us,DALEA SP. (lake.us),DALEA CANDIDA,,No congeners recorded,Yes,,,,,
lake.us,MELILOTUS ALBUS,MELILOTUS SP. (lake.us),,Aggregate at genus level,Yes,,,,,
lake.us,MELILOTUS OFFICINALIS,MELILOTUS SP. (lake.us),,Aggregate at genus level,Yes,,,,,
lake.us,UNKNOWN FORB SP. (lake.us),HELIANTHUS GROSSESERRATUS,,Assign to dominant forb taxon,Yes,Compositae,,,,
lake.us,SOLANUM SP. (lake.us),SOLANUM AMERICANUM,,No congeners recorded,Yes,,,,,
lancaster.uk,,,no changes,no changes,No,,,,,
look.us,UNKNOWN APIACEAE SP. (look.us),LOMATIUM SP. (look.us),plot 27,Inconsistent identification across years,Yes,,,,,
look.us,UNKNOWN BRASSICACEAE SP. (look.us),ERYSIMUM CAPITATUM,"same plot, different years",Inconsistent identification across years,Yes,,,,,
look.us,UNKNOWN CARYOPHYLLACEAE SP. (look.us),MOEHRINGIA LATERIFLORA,never co-occur in same plot-year,Assign to dominant taxon in Family,Yes,,,,,
look.us,UNKNOWN ASTERACEAE SP. (look.us),AGOSERIS AURANTIACA,plot 6; only other species present from family is Erigeron aliceae,Inconsistent identification across years,Yes,,,,,
look.us,CAREX HOODII,CAREX PENSYLVANICA,name switches from 2015 to 2016,Inconsistent identification across years,Yes,,,,,
look.us,UNKNOWN SP. (look.us),CAREX PENSYLVANICA,,Assign to dominant taxon,Yes,Cyperaceae,,,,
look.us,GALIUM SP. (look.us),GALIUM OREGANUM,,No congeners recorded,Yes,,,,,
lubb.us,UNKNOWN SP. (lubb.us),CHONDROSUM GRACILE,indeterminate lifespan according to characteristics,Assign to dominant taxon,Yes,Poaceae,,,,
lubb.us,CHONDROSUM GRACILE,,striking absence in 2020,no changes,No,,,,,
marc.ar,,,striking absence of all Cyperaceae in pretreatment,no changes,No,,,,,
marc.ar,,,striking absence of all Juncaceae in pretreatment,no changes,No,,,,,
marc.ar,UNKNOWN FORB SP. (marc.ar),VERONICA PEREGRINA,,Assign to dominant forb taxon,Yes,Scrophulariaceae,,,,
marc.ar,UNKNOWN POACEAE SP. (marc.ar),BROMUS CATHARTICUS,,Assign to dominant taxon in Family,Yes,,,,,
mcdan.us,UNKNOWN ASTERACEAE SP. (mcdan.us),SOLIDAGO ALTISSIMA,,Assign to dominant taxon in Family,Yes,,,,,
mcla.us,BRODIAEA SP. (mcla.us),DICHELOSTEMMA CAPITATUM,,Inconsistent identification across years,Yes,,,,,
mcla.us,TRITELEIA LAXA,DICHELOSTEMMA CAPITATUM,,Inconsistent identification across years,Yes,,,,,
mcla.us,UNKNOWN BRASSICACEAE SP. (mcla.us),ATHYSANUS PUSILLUS,,Assign to dominant taxon in Family,Yes,,,,,
mcla.us,UNKNOWN ASTERACEAE SP. (mcla.us),CENTAUREA SOLSTITIALIS,,Assign to dominant taxon in Family,Yes,,,,,
mcla.us,TRIFOLIUM SP. (mcla.us),TRIFOLIUM FUCATUM,,Inconsistent identification across years,Yes,,,,,
mcla.us,UNKNOWN LILIACEAE SP. (mcla.us),CALOCHORTUS VENUSTUS,,Inconsistent identification across years,Yes,Asparagaceae,,,,
mcla.us,UNKNOWN SP. (mcla.us),TAENIATHERUM CAPUT-MEDUSAE,,Assign to dominant taxon,Yes,Poaceae,,,,
mcla.us,CYNOSURUS ECHINATUS,HORDEUM MURINUM,never co-occur in same plot-year but present in same plot in subsequent years,no changes,No,,,,,
mcla.us,MELICA SP. (mcla.us),POA SP. (mcla.us),Melica only in year 0; Poa not recorded in year 0,no changes,No,,,,,
mcla.us,POA SP. (mcla.us),POA SECUNDA,,Inconsistent identification across years,Yes,,,,,
mcla.us,UNKNOWN POACEAE SP. (mcla.us),POA SECUNDA,,Inconsistent identification across years,Yes,,,,,
mcla.us,DELPHINIUM SP. (mcla.us),DELPHINIUM HESPERIUM,,No congeners recorded,Yes,,,,,
moab.us,CRYPTANTHA SP. (moab.us),CRYPTANTHA CRASSISEPALA,,No congeners recorded,Yes,,,,,
moab.us,SPHAERALCEA GROSSULARIIFOLIA,SPHAERALCEA SP. (moab.us),,Aggregate at genus level,Yes,,,,,
moab.us,SPHAERALCEA PARVIFOLIA,SPHAERALCEA SP. (moab.us),,Aggregate at genus level,Yes,,,,,
moab.us,SPHAERALCEA SP. (moab.us),,,Update species characteristics,Yes,,NAT,HERB,PERENNIAL,FORB
moab.us,UNKNOWN SP. (moab.us),LAPPULA OCCIDENTALIS var. OCCIDENTALIS,annual forb according to characteristics,Assign to dominant forb taxon (annual),Yes,Boraginaceae,,,,
moab.us,VULPIA OCTOFLORA,FESTUCA OCTOFLORA,,Synonyms,Yes,,,,,
msla.us,BOECHERA HOLBOELLII,BOECHERA PENDULOCARPA,Boechera holboellii often present one year before Boechera pendulocarpa on same plot,no changes,No,,,,,
msla.us,BOECHERA SP. (msla.us),BOECHERA PENDULOCARPA,plot 21,Inconsistent identification across years,Yes,,,,,
msla.us,ANTENNARIA ROSEA,ANTENNARIA MICROPHYLLA,"plot 26, 2017",Inconsistent identification across years,Yes,,,,,
msla.us,ANTENNARIA SP. (msla.us),ANTENNARIA MICROPHYLLA,plot 4,Inconsistent identification across years,Yes,,,,,
msla_2.us,BOECHERA SP. (msla.us),BOECHERA PENDULOCARPA,plot 7,Inconsistent identification across years,Yes,,,,,
msla_2.us,ANTENNARIA SP.,ANTENNARIA PARVIFOLIA,plot 11; Antennaria dimorpha also present,Inconsistent identification across years,Yes,,,,,
msla_2.us,ERIGERON SP. (msla.us),ERIGERON DIVERGENS,plot 21,No congeners recorded,Yes,,,,,
msla_3.us,BOECHERA HOLBOELLII,BOECHERA NUTTALLII,plot 24; Boechera holboellii present one year before Boechera nuttallii,no changes,No,,,,,
msla_3.us,BOECHERA RETROFRACTA,BOECHERA NUTTALLII,plot 50; Boechera retrofracta present one year before Boechera nuttallii,no changes,No,,,,,
msla_3.us,ANTENNARIA SP. (msla.us),ANTENNARIA MICROPHYLLA,plot 13,Inconsistent identification across years,Yes,,,,,
msum.us,UNKNOWN SP. (msum.us),ANDROPOGON GERARDII,,Assign to dominant taxon,Yes,Poaceae,,,,
mtca.au,MESEMBRYANTHEMUM CRYSTALLINUM,MESEMBRYANTHEMUM SP. (mtca.au),2013-2015,Aggregate at genus level,Yes,,,,,
mtca.au,MESEMBRYANTHEMUM NODIFLORUM,MESEMBRYANTHEMUM SP. (mtca.au),2016-2018,Aggregate at genus level,Yes,,,,,
mtca.au,PETRORHAGIA SP. (mtca.au),PETRORHAGIA DUBIA,,No congeners recorded,Yes,,,,,
mtca.au,URSINIA SP. (mtca.au),URSINIA ANTHEMOIDES,,No congeners recorded,Yes,,,,,
mtca.au,VELLEIA CYCNOPOTAMICA,GOODENIA CYCNOPOTAMICA,"Goodenia in 2021-2023, Velleia in all other years",Synonyms,Yes,,,,,
mtca.au,UNKNOWN FORB SP. (mtca.au),ERODIUM BOTRYS,,Assign to dominant forb taxon,Yes,Geraniaceae,,,,
mtca.au,PENTASCHISTIS SP. (mtca.au),PENTASCHISTIS AIROIDES,,No congeners recorded,Yes,,,,,
mtca.au,VULPIA SP. (mtca.au),VULPIA MYUROS,,No congeners recorded,Yes,,,,,
mtca.au,ZALUZIANSKYA SP. (mtca.au),ZALUZIANSKYA DIVARICATA,,No congeners recorded,Yes,,,,,
neba.jp,STELLARIA SP. (neba.jp),STELLARIA ULIGINOSA,confirmed with Muu Akasaka,No congeners recorded,Yes,,,,,
neba.jp,ERIGERON STRIGOSUS,ERIGERON PHILADELPHICUS,confirmed with Muu Akasaka,Inconsistent identification across years,Yes,,,,,
neba.jp,JUNCUS POLYANTHEMUS,JUNCUS DECIPIENS,Juncus polyanthemus only in 2016; Juncus decipiens in all other years; confirmed with Muu Akasaka,Inconsistent identification across years,Yes,,,,,
neba.jp,CLINOPODIUM MULTICAULE,CLINOPODIUM MICRANTHUM,confirmed with Muu Akasaka,Inconsistent identification across years,Yes,,,,,
neba.jp,UNKNOWN SP. (neba.jp),RUBUS ILLECEBROSUS,tree according to characteristics,Assign to dominant woody taxon,Yes,Rosaceae,,,,
neba.jp,AGROSTIS CLAVATA,AGROSTIS SP. (neba.jp),"Agrostis sp. Not distinguished in 2016, 2017; confirmed with Muu Akasaka",Inconsistent identification across years,Yes,,,,,
neba.jp,AGROSTIS GIGANTEA,AGROSTIS SP. (neba.jp),"Agrostis sp. Not distinguished in 2016, 2017; confirmed with Muu Akasaka",Inconsistent identification across years,Yes,,,,,
neba.jp,FESTUCA PRATENSIS,FESTUCA RUBRA,confirmed with Muu Akasaka,Inconsistent identification across years,Yes,,,,,
neba.jp,POA TRIVIALIS,POA PRATENSIS,"Poa trivialis in first three years, then Poa pratensis; confirmed with Muu Akasaka",Inconsistent identification across years,Yes,,,,,
neba.jp,UNKNOWN POACEAE SP. (neba.jp),PENNISETUM ALOPECUROIDES,Unknown Poaceae in 2017; no Pennisetum alopecuroides in that year but present in same plots in later years; confirmed with Muu Akasaka,Inconsistent identification across years,Yes,,,,,
neba.jp,UNKNOWN POLYGONACEAE SP. (neba.jp),RUMEX OBTUSIFOLIUS,plot 25 in 2018 and 2019,Assign to dominant taxon in Family,Yes,,,,,
neba.jp,UNKNOWN ROSACEAE SP. (neba.jp),RUBUS ILLECEBROSUS,"plot 28, 2016; shrub according to characteristics",Assign to dominant woody taxon in Family,Yes,,,,,
neba.jp,UNKNOWN RUBIACEAE SP. (neba.jp),,"plot 32, 2018; woody vine according to characteristics",no changes,No,,,,,
neba.jp,UNKNOWN SCROPHULARIACEAE SP. (neba.jp),VERONICA ARVENSIS,"plot 42, 2018; V. serpyllifolia present in that plot-year",Assign to dominant taxon in Family,Yes,,,,,
nilla.au,UNKNOWN FORB SP. (nilla.au),TRIFOLIUM GLOMERATUM,,Assign to dominant forb taxon,Yes,Fabaceae,,,,
nilla.au,RYTIDOSPERMA SP. (nilla.au),RYTIDOSPERMA RACEMOSUM,"plot 10, 2024",No congeners recorded,Yes,,,,,
pape.de,,,no changes,no changes,No,,,,,
ping.au,UNKNOWN POACEAE SP. (ping.au),AVENA BARBATA,"plot 19, 2017",Assign to dominant taxon in Family,Yes,,,,,
pinj.au,MEDICAGO SP. (pinj.au),MEDICAGO POLYMORPHA,,No congeners recorded,Yes,,,,,
pinj.au,UNKNOWN FABACEAE SP. (pinj.au),INDIGOFERA HIRSUTA,"plot 29, 2013",Assign to dominant taxon in Family,Yes,,,,,
pinj.au,UNKNOWN SP. (pinj.au),SETARIA SPHACELATA,,Assign to dominant taxon,Yes,Poaceae,,,,
pinj.au,UNKNOWN SP.2 (pinj.au),SETARIA SPHACELATA,,Assign to dominant taxon,Yes,Poaceae,,,,
potrok.ar,,,no changes,no changes,No,,,,,
potrok.ar,,,data unusually consistent over time,no changes,No,,,,,
rook.uk,,,no changes,no changes,No,,,,,
saana.fi,BARBILOPHOZIA SP. (saana.fi),BARBILOPHOZIA LYCOPODIOIDES,,No congeners recorded,Yes,,,,,
saana.fi,BRACHYTHECIUM LATIFOLIUM,SCIURO-HYPNUM LATIFOLIUM,,Synonyms,Yes,,,,,
saana.fi,BRACHYTHECIUM REFLEXUM,SCIURO-HYPNUM REFLEXUM,,Synonyms,Yes,,,,,
saana.fi,BRACHYTHECIUM STARKII,SCIURO-HYPNUM STARKII,,Synonyms,Yes,,,,,
saana.fi,BRACHYTHECIUM SP. (saana.fi),SCIURO-HYPNUM STARKII,don't co-occur but B. starkii often present in later years,Inconsistent identification across years,Yes,,,,,
